iter	Passed	Remaining
513	4385	21212
514	4393	21199
515	4401	21187
516	4409	21175
517	4416	21163
518	4424	21151
519	4432	21139
520	4440	21129
521	4448	21116
522	4456	21105
523	4464	21095
524	4472	21083
525	4479	21070
526	4487	21059
527	4495	21046
528	4503	21034
529	4511	21026
530	4519	21015
531	4527	21003
532	4535	20992
533	4543	20979
534	4551	20969
535	4559	20959
536	4567	20948
537	4574	20935
538	4582	20923
539	4589	20909
540	4598	20900
541	4605	20887
542	4613	20875
543	4620	20860
544	4627	20846
545	4635	20834
546	4643	20822
547	4650	20810
548	4658	20797
549	4666	20786
550	4673	20773
551	4681	20762
552	4690	20753
553	4698	20744
554	4705	20730
555	4713	20718
556	4721	20708
557	4729	20698
558	4738	20689
559	4745	20678
560	4753	20666
561	4760	20653
562	4769	20643
563	4777	20634
564	4785	20623
565	4793	20614
566	4801	20602
567	4809	20591
568	4816	20579
569	4824	20568
570	4832	20556
571	4839	20543
572	4847	20531
573	4854	20517
574	4862	20505
575	4869	20491
576	4877	20480
577	4884	20468
578	4892	20458
579	4899	20444
580	4907	20431
581	4914	20419
582	4922	20409
583	4930	20396
584	4937	20381
585	4945	20371
586	4952	20360
587	4961	20350
588	4968	20339
589	4977	20330
590	4985	20319
591	4992	20307
592	5000	20295
593	5007	20284
594	5015	20272
595	5023	20260
596	5030	20249
597	5038	20238
598	5046	20228
599	5055	20220
600	5062	20209
601	5070	20199
602	5078	20186
603	5086	20177
604	5094	20167
605	5102	20158
606	5110	20148
607	5118	20137
608	5126	20127
609	5135	20121
610	5144	20115
611	5153	20108
612	5161	20098
613	5170	20090
614	5178	20081
615	5186	20073
616	5194	20063
617	5202	20053
618	5210	20042
619	5218	20031
620	5226	20022
621	5234	20012
622	5242	20000
623	5249	19988
624	5257	19977
625	5265	19968
626	5273	19959
627	5282	19950
628	5290	19941
629	5299	19935
630	5307	19926
631	5315	19916
632	5323	19905
633	5331	19897
634	5339	19886
635	5347	19875
636	5354	19864
637	5362	19854
638	5370	19842
639	5378	19833
640	5386	19822
641	5394	19813
642	5402	19802
643	5410	19794
644	5418	19783
645	5426	19773
646	5434	19763
647	5442	19752
648	5450	19742
649	5457	19731
650	5465	19721
651	5473	19712
652	5482	19703
653	5490	19694
654	5498	19684
655	5506	19673
656	5514	19665
657	5522	19656
658	5530	19646
659	5538	19638
660	5547	19629
661	5556	19624
662	5564	19615
663	5572	19605
664	5580	19594
665	5588	19585
666	5596	19573
667	5604	19563
668	5611	19552
669	5619	19543
670	5627	19533
671	5635	19523
672	5643	19513
673	5651	19503
674	5659	19492
675	5666	19482
676	5674	19471
677	5682	19461
678	5690	19450
679	5698	19440
680	5705	19429
681	5713	19420
682	5721	19409
683	5729	19399
684	5737	19389
685	5744	19377
686	5752	19367
687	5760	19356
688	5767	19346
689	5775	19335
690	5783	19326
691	5791	19314
692	5800	19308
693	5808	19301
694	5816	19291
695	5824	19280
696	5832	19272
697	5840	19263
698	5848	19253
699	5858	19248
700	5866	19238
701	5873	19227
702	5881	19217
703	5888	19205
704	5897	19196
705	5905	19188
706	5913	19178
707	5920	19167
708	5928	19157
709	5935	19144
710	5944	19136
711	5952	19127
712	5960	19119
713	5968	19108
714	5976	19098
715	5983	19086
716	5991	19077
717	5999	19069
718	6007	19059
719	6015	19049
720	6023	19039
721	6031	19030
722	6040	19023
723	6048	19013
724	6056	19004
725	6064	18995
726	6072	18984
727	6080	18975
728	6087	18964
729	6095	18953
730	6103	18944
731	6111	18934
732	6118	18922
733	6126	18913
734	6134	18904
735	6142	18896
736	6151	18887
737	6159	18878
738	6166	18867
739	6175	18859
740	6182	18847
741	6190	18837
742	6197	18826
743	6205	18817
744	6213	18806
745	6220	18796
746	6228	18784
747	6235	18774
748	6243	18763
749	6250	18752
750	6258	18743
751	6266	18733
752	6274	18723
753	6282	18714
754	6291	18706
755	6300	18700
756	6308	18693
757	6316	18682
758	6324	18673
759	6332	18663
760	6340	18653
761	6348	18644
762	6355	18634
763	6362	18622
764	6371	18615
765	6379	18606
766	6388	18598
767	6396	18588
768	6404	18581
769	6412	18572
770	6420	18562
771	6428	18552
772	6436	18543
773	6443	18532
774	6451	18521
775	6458	18510
776	6467	18504
777	6475	18494
778	6483	18485
779	6492	18477
780	6500	18468
781	6507	18457
782	6515	18447
783	6523	18437
784	6531	18429
785	6539	18419
786	6546	18409
787	6554	18398
788	6562	18389
789	6569	18377
790	6576	18366
791	6584	18356
792	6592	18347
793	6600	18337
794	6608	18329
795	6617	18321
796	6624	18311
797	6632	18301
798	6640	18291
799	6648	18282
800	6655	18271
801	6663	18262
802	6671	18254
803	6681	18248
804	6689	18240
805	6697	18230
806	6705	18221
807	6714	18214
808	6721	18204
809	6729	18195
810	6738	18187
811	6746	18179
812	6755	18171
813	6762	18161
814	6770	18151
815	6778	18142
816	6786	18132
817	6794	18125
818	6803	18117
819	6811	18108
820	6819	18098
821	6828	18092
822	6836	18084
823	6844	18076
824	6852	18065
825	6860	18057
826	6868	18048
827	6876	18038
828	6884	18028
829	6892	18020
830	6900	18012
831	6908	18002
832	6916	17993
833	6924	17983
834	6931	17973
835	6940	17964
836	6947	17954
837	6955	17943
838	6962	17933
839	6970	17922
840	6978	17914
841	6985	17904
842	6994	17896
843	7002	17886
844	7010	17879
845	7019	17871
846	7027	17864
847	7036	17855
848	7043	17845
849	7051	17835
850	7058	17825
851	7066	17815
852	7074	17806
853	7082	17796
854	7090	17788
855	7098	17779
856	7106	17771
857	7114	17761
858	7122	17753
859	7130	17743
860	7138	17734
861	7146	17724
862	7154	17715
863	7162	17708
864	7170	17699
865	7178	17689
866	7186	17680
867	7193	17669
868	7201	17660
869	7209	17650
870	7217	17641
871	7225	17632
872	7233	17624
873	7241	17614
874	7248	17604
875	7256	17594
876	7264	17586
877	7272	17575
878	7279	17565
879	7287	17556
880	7296	17548
881	7305	17542
882	7313	17535
883	7322	17527
884	7330	17519
885	7338	17510
886	7347	17502
887	7355	17494
888	7364	17486
889	7371	17476
890	7379	17467
891	7387	17457
892	7394	17447
893	7402	17438
894	7410	17428
895	7418	17419
896	7425	17409
897	7433	17400
898	7441	17390
899	7452	17389
900	7464	17390
901	7474	17385
902	7483	17378
903	7490	17368
904	7499	17360
905	7507	17350
906	7515	17342
907	7524	17335
908	7531	17326
909	7539	17316
910	7547	17307
911	7555	17298
912	7563	17289
913	7570	17278
914	7578	17269
915	7586	17260
916	7595	17253
917	7603	17243
918	7612	17237
919	7620	17229
920	7628	17221
921	7636	17210
922	7644	17201
923	7651	17191
924	7659	17182
925	7667	17172
926	7675	17163
927	7682	17153
928	7691	17146
929	7699	17137
930	7707	17128
931	7715	17119
932	7723	17110
933	7731	17102
934	7739	17092
935	7748	17085
936	7757	17079
937	7768	17076
938	7778	17072
939	7787	17067
940	7796	17060
941	7805	17052
942	7814	17045
943	7823	17039
944	7831	17031
945	7840	17024
946	7848	17014
947	7857	17007
948	7865	16998
949	7873	16990
950	7882	16983
951	7890	16975
952	7898	16965
953	7907	16958
954	7916	16951
955	7925	16945
956	7934	16939
957	7945	16935
958	7953	16926
959	7961	16917
960	7969	16909
961	7977	16900
962	7985	16891
963	7992	16880
964	8000	16871
965	8008	16862
966	8016	16854
967	8024	16844
968	8032	16835
969	8040	16827
970	8048	16817
971	8055	16806
972	8062	16796
973	8071	16789
974	8079	16780
975	8087	16772
976	8095	16763
977	8103	16754
978	8112	16746
979	8120	16737
980	8127	16727
981	8135	16718
982	8142	16708
983	8151	16699
984	8158	16690
985	8166	16681
986	8175	16673
987	8184	16666
988	8192	16658
989	8202	16653
990	8210	16645
991	8219	16637
992	8227	16629
993	8236	16621
994	8243	16610
995	8251	16602
996	8258	16592
997	8266	16583
998	8275	16575
999	8283	16566
1000	8290	16556
1001	8298	16546
1002	8306	16538
1003	8314	16529
1004	8322	16521
1005	8330	16511
1006	8339	16504
1007	8347	16496
1008	8354	16485
1009	8362	16476
1010	8369	16466
1011	8377	16456
1012	8385	16448
1013	8393	16439
1014	8401	16430
1015	8411	16424
1016	8419	16417
1017	8427	16408
1018	8435	16399
1019	8445	16393
1020	8453	16384
1021	8464	16382
1022	8474	16378
1023	8484	16373
1024	8494	16367
1025	8502	16358
1026	8509	16348
1027	8517	16339
1028	8525	16330
1029	8533	16321
1030	8540	16311
1031	8548	16302
1032	8555	16291
1033	8564	16284
1034	8571	16273
1035	8579	16265
1036	8586	16254
1037	8594	16245
1038	8601	16234
1039	8609	16225
1040	8617	16215
1041	8625	16207
1042	8632	16197
1043	8640	16187
1044	8648	16178
1045	8655	16169
1046	8663	16159
1047	8670	16150
1048	8678	16141
1049	8686	16132
1050	8694	16123
1051	8702	16114
1052	8711	16107
1053	8718	16096
1054	8727	16089
1055	8734	16079
1056	8742	16071
1057	8750	16061
1058	8758	16052
1059	8765	16042
1060	8773	16033
1061	8780	16023
1062	8788	16014
1063	8795	16004
1064	8803	15994
1065	8811	15986
1066	8819	15977
1067	8827	15968
1068	8835	15960
1069	8843	15951
1070	8851	15941
1071	8859	15933
1072	8866	15923
1073	8874	15914
1074	8883	15906
1075	8890	15897
1076	8898	15889
1077	8906	15880
1078	8914	15871
1079	8923	15864
1080	8931	15855
1081	8940	15847
1082	8948	15838
1083	8956	15830
1084	8963	15820
1085	8972	15812
1086	8979	15803
1087	8988	15795
1088	8997	15788
1089	9005	15779
1090	9012	15770
1091	9020	15760
1092	9027	15751
1093	9035	15741
1094	9043	15732
1095	9051	15724
1096	9059	15715
1097	9067	15707
1098	9075	15697
1099	9082	15688
1100	9090	15678
1101	9098	15670
1102	9106	15662
1103	9114	15653
1104	9122	15643
1105	9130	15635
1106	9138	15627
1107	9146	15618
1108	9153	15608
1109	9162	15600
1110	9169	15590
1111	9177	15582
1112	9185	15573
1113	9192	15563
1114	9200	15554
1115	9208	15545
1116	9216	15536
1117	9223	15526
1118	9231	15517
1119	9238	15507
1120	9246	15498
1121	9253	15488
1122	9261	15480
1123	9269	15470
1124	9276	15460
1125	9284	15452
1126	9292	15443
1127	9300	15434
1128	9307	15424
1129	9315	15415
1130	9322	15405
1131	9330	15396
1132	9338	15387
1133	9346	15379
1134	9354	15370
1135	9362	15362
1136	9369	15352
1137	9377	15343
1138	9385	15334
1139	9392	15324
1140	9400	15315
1141	9407	15306
1142	9415	15297
1143	9423	15288
1144	9431	15280
1145	9440	15272
1146	9447	15262
1147	9455	15253
1148	9463	15244
1149	9470	15235
1150	9479	15227
1151	9487	15219
1152	9495	15211
1153	9504	15203
1154	9513	15196
1155	9521	15188
1156	9530	15180
1157	9539	15173
1158	9547	15165
1159	9555	15156
1160	9562	15147
1161	9570	15137
1162	9577	15128
1163	9585	15119
