iter	RMSE
127	0.4499536724
128	0.4495692074
129	0.4491113246
130	0.4487112277
131	0.4482905611
132	0.4478265908
133	0.4473780762
134	0.4470440814
135	0.4466843008
136	0.4462999514
137	0.4459001986
138	0.445472874
139	0.4451148106
140	0.4448153955
141	0.4444789867
142	0.4442125683
143	0.4439406108
144	0.4436257378
145	0.4432347748
146	0.4430241879
147	0.4427530186
148	0.4424701759
149	0.442230153
150	0.4419986824
151	0.4416272517
152	0.4413480429
153	0.4411112286
154	0.4408220656
155	0.4405978972
156	0.4402653197
157	0.4399794816
158	0.4397303822
159	0.4394816893
160	0.4392185927
161	0.438990709
162	0.4387860609
163	0.4385071997
164	0.4382838075
165	0.4380905956
166	0.4378391372
167	0.4376527221
168	0.4374665064
169	0.4372174815
170	0.437014835
171	0.4368037129
172	0.4365809248
173	0.4364371903
174	0.4363070425
175	0.4361655684
176	0.4358862799
177	0.4356806578
178	0.4355526432
179	0.4354021175
180	0.4352693805
181	0.4351501188
182	0.4349912931
183	0.4348355543
184	0.4345861461
185	0.43436678
186	0.4342409857
187	0.4339895031
188	0.4338634106
189	0.4336774108
190	0.4335816147
191	0.4333957499
192	0.4333033748
193	0.4331293123
194	0.4329568123
195	0.4327671561
196	0.4326659867
197	0.4325148286
198	0.4323782172
199	0.4322361104
200	0.4321261209
201	0.4320157499
202	0.431912866
203	0.4317547734
204	0.4316074746
205	0.4315059759
206	0.4313470133
207	0.431233488
208	0.4311547221
209	0.4309704787
210	0.4308106295
211	0.4307244425
212	0.430656776
213	0.4305079386
214	0.4304278787
215	0.4303222329
216	0.4301939094
217	0.4301058192
218	0.4299820959
219	0.4299274072
220	0.429746329
221	0.4296222842
222	0.4295295246
223	0.4294437809
224	0.4293753226
225	0.4292349787
226	0.4291239468
227	0.4290159858
228	0.4288963296
229	0.4287976199
230	0.4287140248
231	0.4286153748
232	0.4285044394
233	0.4283836572
234	0.4282608153
235	0.4281565963
236	0.4280889451
237	0.427929772
238	0.4278177308
239	0.4276892535
240	0.4276346535
241	0.4275566537
242	0.4274618235
243	0.4273806164
244	0.42730389
245	0.4271803379
246	0.4271071287
247	0.4269597629
248	0.4268879872
249	0.4267437221
250	0.4266949082
251	0.4266157775
252	0.426549318
253	0.4264680882
254	0.426380975
255	0.4263182362
256	0.4262495431
257	0.4261990588
258	0.4261531712
259	0.4260701727
260	0.4259513604
261	0.4259106048
262	0.4258833825
263	0.4258224667
264	0.4257012816
265	0.4255538852
266	0.425499575
267	0.4254214466
268	0.4253934041
269	0.4252556277
270	0.4251443906
271	0.4250673515
272	0.4249569755
273	0.4248743861
274	0.4247974716
275	0.4247187835
276	0.4246026136
277	0.4245183136
278	0.4244147329
279	0.4243266759
280	0.4242359144
281	0.4241501604
282	0.4240734858
283	0.4240295718
284	0.4239592705
285	0.4239034903
286	0.4238689152
287	0.4237977172
288	0.4237404163
289	0.423702861
290	0.4236346118
291	0.4235645309
292	0.4235085346
293	0.4234145642
294	0.4233235021
295	0.4232032651
296	0.4231160752
297	0.4230518861
298	0.4230300753
299	0.4229107253
300	0.422864825
301	0.4228069166
302	0.4227288264
303	0.4226618079
304	0.4225899393
305	0.4225114315
306	0.4224380511
307	0.4223821266
308	0.422302707
309	0.4222437314
310	0.4221698134
311	0.4220978173
312	0.4220575093
313	0.4220104423
314	0.4219410243
315	0.4218862982
316	0.4218262579
317	0.4217319849
318	0.4216851694
319	0.4216155474
320	0.4215617799
321	0.421500597
322	0.421457183
323	0.4213609993
324	0.421340433
325	0.4212597026
326	0.4211936165
327	0.421153796
328	0.4210987175
329	0.4210249717
330	0.4209603795
331	0.4208965344
332	0.4208304217
333	0.4207348597
334	0.4206885723
335	0.4206275063
336	0.4205645395
337	0.4204835335
338	0.4203846571
339	0.4202972903
340	0.4202371677
341	0.4201820651
342	0.4201371842
343	0.4200557437
344	0.4199782458
345	0.4199087573
346	0.4198543543
347	0.4198052933
348	0.4197564021
349	0.4197364615
350	0.419667641
351	0.4195936384
352	0.4195499376
353	0.4195027242
354	0.4194718649
355	0.4194240036
356	0.4193470188
357	0.4192825784
358	0.4192040453
359	0.4191542571
360	0.419110952
361	0.4190762983
362	0.419020202
363	0.4189650381
364	0.4189153975
365	0.4188271442
366	0.4187739992
367	0.4187322274
368	0.4186599202
369	0.4186177505
370	0.4185615907
371	0.4185131053
372	0.4184403079
373	0.418384922
374	0.4183099663
375	0.4182803049
376	0.4182240447
377	0.4182107197
378	0.418180284
379	0.4181442744
380	0.4181071801
381	0.4180634187
382	0.4180153084
383	0.4179971148
384	0.4179489229
385	0.4178843094
386	0.4178612121
387	0.4177941074
388	0.4177487768
389	0.4176959809
390	0.4176505793
391	0.4175899094
392	0.4175313232
393	0.417479852
394	0.4174528741
395	0.4173826497
396	0.417352737
397	0.4173112017
398	0.4172671315
399	0.4172401324
400	0.4171986034
401	0.4171460955
402	0.4170977472
403	0.4170707739
404	0.4170563552
405	0.4170385966
406	0.4170086591
407	0.4169708076
408	0.4169373078
409	0.416874798
410	0.4168374087
411	0.4168103862
412	0.4167518651
413	0.4167088141
414	0.4166665385
415	0.41661063
416	0.4165706633
417	0.416492919
418	0.4164540527
419	0.4164059873
420	0.4163844973
421	0.4163489617
422	0.4162816617
423	0.4161923906
424	0.4161619449
425	0.4161132597
426	0.4160801014
427	0.4160416797
428	0.4160026037
429	0.4159875656
430	0.4159493082
431	0.4159099473
432	0.4158763642
433	0.4158252085
434	0.4157812626
435	0.4157528831
436	0.415715867
437	0.4156890717
438	0.415641803
439	0.4156126261
440	0.4155625866
441	0.4154703616
442	0.4154435209
443	0.4154224195
444	0.4153865052
445	0.4153364573
446	0.4152708422
447	0.4152081819
448	0.4151648464
449	0.4151377252
450	0.4150435665
451	0.4149980565
452	0.4149708066
453	0.4149338574
454	0.4148855529
455	0.4148307333
456	0.4147920059
457	0.414760144
458	0.4147301334
459	0.4146830699
460	0.4146508886
461	0.4146115496
462	0.4145683334
463	0.4145375191
464	0.4144687985
465	0.4144355349
466	0.4143590197
467	0.4143193035
468	0.414280385
469	0.414237709
470	0.4142119548
471	0.4141712814
472	0.4140975103
473	0.4140830307
474	0.4140506423
475	0.4140150508
476	0.413980565
477	0.4139208972
478	0.4139035776
479	0.4138762361
480	0.4138360986
481	0.4137964417
482	0.4137630437
483	0.4136754666
484	0.4136466499
485	0.4136239144
486	0.4135848491
487	0.413532749
488	0.413492925
489	0.4134473415
490	0.4133971586
491	0.4133784672
492	0.4133366832
493	0.4132864968
494	0.4132521385
495	0.4131992974
496	0.4131588733
497	0.4131371378
498	0.4131157065
499	0.4130553158
500	0.4130162925
501	0.4129399995
502	0.4129052105
503	0.4128534564
504	0.4127975161
505	0.4127608835
506	0.4127107292
507	0.4126746747
508	0.4126289776
509	0.4125951471
510	0.4125445705
511	0.4125251552
512	0.412515806
513	0.4124815871
514	0.4124544967
515	0.4124091631
516	0.4123843892
517	0.4123511105
518	0.4123005311
519	0.4122711764
520	0.4122256876
521	0.4122099374
522	0.4121810976
523	0.4121227248
524	0.4120808366
525	0.412055048
526	0.4120354635
527	0.4119957054
528	0.4119552074
529	0.411915046
530	0.4118682098
531	0.4118362472
532	0.4118086746
533	0.411764416
534	0.41168581
535	0.4116742455
536	0.4116422017
537	0.4115899383
538	0.4115719878
539	0.4115499103
540	0.4115070171
541	0.4114889799
542	0.411460502
543	0.4114432258
544	0.4114207401
545	0.4113761007
546	0.4113302918
547	0.4112887552
548	0.4112681588
549	0.4112240784
550	0.4112054294
551	0.4111779412
552	0.4111321984
553	0.4110756184
554	0.4110447074
555	0.4110078561
556	0.4109706281
557	0.4109472357
558	0.4109230564
559	0.4108911614
560	0.4108572158
561	0.4108362019
562	0.4108061492
563	0.4107684509
564	0.4107354108
565	0.4107008735
566	0.4106738073
567	0.4106382698
568	0.4106241027
569	0.4106081567
570	0.4105481298
571	0.4105117979
572	0.4104534033
573	0.4104314395
574	0.4103888124
575	0.4103596871
576	0.4103347699
577	0.4102862838
578	0.4102214553
579	0.4102005064
580	0.4101822769
581	0.4101501678
582	0.4101112108
583	0.4100781577
584	0.4100602898
585	0.4100009793
586	0.4099689811
587	0.4099365837
588	0.4098965606
589	0.4098784835
590	0.4098399084
591	0.409803619
592	0.4097762733
593	0.409732436
594	0.4096935004
595	0.4096649651
596	0.40960243
597	0.4095640075
598	0.4095138796
599	0.4094756479
600	0.4094255123
601	0.4093942493
602	0.4093570804
603	0.4093282519
604	0.4092777129
605	0.4092102131
606	0.4091730795
607	0.4091540266
608	0.4091081243
609	0.4090744434
610	0.4090389522
611	0.4090014457
612	0.4089630465
613	0.408948131
614	0.4089325865
615	0.4088616425
616	0.4088430521
617	0.4088224846
618	0.4087742462
619	0.4087365712
620	0.4086817383
621	0.4086440112
622	0.4086070469
623	0.4085805286
624	0.4085489585
625	0.408502486
626	0.4084525423
627	0.408419145
628	0.4083580678
629	0.4083255817
630	0.4082730715
631	0.4082428099
632	0.4081863222
633	0.4081486389
634	0.4081193782
635	0.4080945498
636	0.4080640291
637	0.4080349819
638	0.4080244209
639	0.4079624944
640	0.4079342899
641	0.4079038531
642	0.4078743546
643	0.407827332
644	0.4078111088
645	0.407767545
646	0.4077344082
647	0.4077109437
648	0.4076687415
649	0.4076376497
650	0.4076087052
651	0.4075683992
652	0.4075391304
653	0.407512763
654	0.4074986962
655	0.4074674593
656	0.40742361
657	0.4073660596
658	0.4073202327
659	0.4072659137
660	0.4072255327
661	0.40719182
662	0.4071522582
663	0.4071374814
664	0.4071060849
665	0.4070756821
666	0.4070458602
667	0.4070017232
668	0.4069815088
669	0.4069470488
670	0.4068987403
671	0.4068512973
672	0.4068324798
673	0.4068027581
674	0.4067921279
675	0.4067788557
676	0.4067542809
677	0.4067219244
678	0.4066573365
679	0.4065999905
680	0.4065577511
681	0.4065298927
682	0.4065005881
683	0.4064729288
684	0.4064169531
685	0.4063798777
686	0.4063598753
687	0.4063252103
688	0.4062839694
689	0.4062522616
690	0.4062231264
691	0.4061837571
692	0.4061651565
693	0.4061263674
694	0.4060869496
695	0.4060630283
696	0.4060161712
697	0.4059859322
698	0.4059354533
699	0.4059073142
700	0.4058779925
701	0.405836667
702	0.4058135104
703	0.4057970471
704	0.4057808106
705	0.4057370474
706	0.4057045443
707	0.4056946295
708	0.4056663542
709	0.4056533904
710	0.4056065939
711	0.4055623457
712	0.4055374693
713	0.4055244685
714	0.4054817936
715	0.4054420233
716	0.4054244298
717	0.4053791022
718	0.4053436225
719	0.4053151725
720	0.4052914067
721	0.4052790601
722	0.4052432408
723	0.405209832
724	0.4051665254
725	0.4051112662
726	0.4050769154
727	0.4050323331
728	0.4050053721
729	0.4049753175
730	0.4049630038
731	0.4049276314
732	0.4049009237
733	0.4048534243
734	0.4048237145
735	0.4047842299
736	0.4047329506
737	0.4046755663
738	0.4046641079
739	0.4045928568
740	0.4045798485
741	0.4045415229
742	0.4045179395
743	0.4045061755
744	0.4044663252
745	0.4044544097
746	0.4044099628
747	0.4043823989
748	0.4043697351
749	0.4043553568
750	0.4043220689
751	0.4042833579
752	0.404268724
753	0.404221325
754	0.4041725951
755	0.4041127657
756	0.4040745483
757	0.4040608608
758	0.4040140143
759	0.4039778797
760	0.4039556623
761	0.4039418772
762	0.4038921766
763	0.4038638758
764	0.4038301885
765	0.4038057412
766	0.4037839235
767	0.40374913
768	0.4037024578
769	0.4036602608
770	0.4036463296
771	0.4036194774
772	0.403611156
773	0.4035789395
774	0.4035589529
775	0.4035406875
776	0.4035011029
777	0.4034644847
778	0.4034274451
779	0.4033618689
780	0.4033271597
781	0.4032942064
782	0.4032806909
783	0.4032688981
784	0.4031877048
785	0.4031563995
786	0.4031372755
787	0.403101111
788	0.4030521989
789	0.4030291658
790	0.403011646
791	0.402973791
792	0.402944193
793	0.4029040976
794	0.4028732956
795	0.4028110965
796	0.4027837824
797	0.402750417
798	0.4027097476
799	0.402689528
800	0.4026803438
801	0.4026483344
802	0.4026276826
803	0.4026025571
804	0.4025625544
805	0.4025310243
806	0.4024897855
807	0.4024362904
808	0.4024081597
809	0.4023959456
810	0.4023487082
811	0.40231439
812	0.4022660946
813	0.4022347319
814	0.4021894238
815	0.4021508651
816	0.4021301494
817	0.4020924662
818	0.4020564544
819	0.4020294131
820	0.4019923161
821	0.4019416344
822	0.4019034143
823	0.4018838376
824	0.4018473484
825	0.4018150727
826	0.401800192
827	0.4017887256
828	0.4017561311
829	0.4017178523
830	0.4016802022
831	0.4016638684
832	0.4016326892
833	0.4016055356
834	0.4015873166
835	0.4015548335
836	0.4015281689
837	0.4015028642
838	0.4014882478
839	0.4014780805
840	0.4014438265
841	0.4014207551
842	0.4013825773
843	0.4013700736
844	0.4013392849
845	0.4013004887
846	0.4012638124
847	0.4012278831
848	0.4011907744
849	0.4011644931
850	0.4011353131
851	0.4011261489
852	0.4010953202
853	0.4010711013
854	0.4010532978
855	0.4010195292
856	0.4009820104
857	0.4009649444
858	0.4009446386
859	0.4009129717
860	0.4008964589
861	0.4008596803
862	0.4008478679
863	0.4008079496
864	0.4007741997
865	0.400755544
866	0.4007476221
867	0.4007393238
868	0.4007023311
869	0.4006916586
870	0.400679911
871	0.4006514069
872	0.4005920119
873	0.4005792751
874	0.4005552289
875	0.4005224562
876	0.4005114153
877	0.4004891951
878	0.4004799347
879	0.4004518609
880	0.4004252218
881	0.4004123637
882	0.4003819428
883	0.4003737707
884	0.400343306
885	0.4003345904
886	0.4003124598
887	0.4002792694
888	0.4002503217
889	0.4002399446
890	0.4002031008
891	0.4001817242
892	0.4001586838
893	0.4001066038
894	0.4000731735
895	0.4000278802
896	0.4000139379
897	0.3999803987
898	0.3999616442
899	0.3999320669
900	0.3999172458
901	0.3998985382
902	0.3998627591
903	0.399843963
904	0.3998022712
905	0.3997600467
906	0.3997112907
907	0.3997018629
908	0.3996762052
909	0.3996566013
910	0.399618248
911	0.3995895804
912	0.3995790673
913	0.3995701671
914	0.3995495056
915	0.3995179092
916	0.3995050586
917	0.3994834673
918	0.3994416103
919	0.3994089991
920	0.3993768601
921	0.3993617083
922	0.3993519376
923	0.3993238833
924	0.3993141148
925	0.3992886102
926	0.3992586907
927	0.3992307436
928	0.3991812799
929	0.3991386342
930	0.3991267895
931	0.3990988637
932	0.3990697361
933	0.3990457372
934	0.3990202866
935	0.398990977
936	0.3989783772
937	0.3989607988
938	0.3989429905
939	0.3989146293
940	0.3988964684
941	0.3988842801
942	0.3988662017
943	0.3988420115
944	0.3988159139
945	0.3987913214
946	0.3987636225
947	0.3987416786
948	0.3987137106
949	0.3987062089
950	0.3986764014
951	0.3986446363
952	0.3986142904
953	0.3985821104
954	0.3985317793
955	0.3984863947
956	0.3984694169
957	0.3984404243
958	0.3984132264
959	0.3983811703
960	0.3983654204
961	0.3983408075
962	0.3983202805
963	0.3983032321
964	0.3982666481
965	0.3982425959
966	0.398217769
967	0.3982033357
968	0.3981829884
969	0.3981563294
970	0.3981364497
971	0.3981205646
972	0.398112361
973	0.3980754691
974	0.3980603602
975	0.3980342983
976	0.3980147195
977	0.3979994583
978	0.3979665237
979	0.39794539
980	0.3979338681
981	0.3979103743
982	0.3978641514
983	0.3978297683
984	0.3978082367
985	0.3977794386
986	0.3977370539
987	0.3977271422
988	0.3977107058
989	0.3977035847
990	0.397686282
991	0.3976698215
992	0.3976457959
993	0.3976179858
994	0.3976047875
995	0.3975805824
996	0.3975548727
997	0.3975432759
998	0.3975034304
999	0.3974838603
1000	0.3974502142
1001	0.3974408102
1002	0.397415271
1003	0.3973819167
1004	0.3973546249
1005	0.3973468391
1006	0.3973185057
1007	0.3973006777
1008	0.3972819043
1009	0.3972687679
1010	0.3972482304
1011	0.3972187588
1012	0.3972093912
1013	0.3971945386
1014	0.3971665173
1015	0.3971407119
1016	0.3971145749
1017	0.3970923416
1018	0.3970744824
1019	0.3970573492
1020	0.3970319414
1021	0.3970242841
1022	0.3970128218
1023	0.3969745115
1024	0.3969586169
1025	0.3969366969
1026	0.3969198218
1027	0.3968870694
1028	0.3968605745
1029	0.3968412748
1030	0.3968227212
1031	0.3967957356
1032	0.3967819548
1033	0.3967679769
1034	0.3967427997
1035	0.3967210974
1036	0.3966948607
1037	0.3966765927
1038	0.3966579631
1039	0.3966194668
1040	0.3966028878
1041	0.3965807369
1042	0.3965683267
1043	0.3965522764
1044	0.3965341099
1045	0.3965071033
1046	0.3964918188
1047	0.3964675297
1048	0.3964512106
1049	0.3964371376
1050	0.3964289684
1051	0.3964015778
1052	0.3963781155
1053	0.3963624767
1054	0.3963542552
1055	0.3963428468
1056	0.3963187617
1057	0.3962944142
1058	0.396276554
1059	0.3962632325
1060	0.3962485267
1061	0.3962178651
1062	0.3961919594
1063	0.3961727562
1064	0.3961567211
1065	0.3961279749
1066	0.3960933401
1067	0.3960537435
1068	0.3960281292
1069	0.3959885491
1070	0.3959771283
1071	0.3959503682
1072	0.3959384702
1073	0.3959176921
1074	0.395881363
1075	0.395857032
1076	0.3958318158
1077	0.3958211375
1078	0.3957950267
1079	0.3957724329
1080	0.3957394718
1081	0.3957152872
1082	0.3956992791
1083	0.3956845928
1084	0.3956613339
1085	0.3956373607
1086	0.3956193112
1087	0.3955967559
1088	0.3955499368
1089	0.3955388395
1090	0.3955177019
1091	0.3955008859
1092	0.395479859
1093	0.3954722102
1094	0.3954521504
1095	0.395429141
1096	0.3953964518
1097	0.3953811708
1098	0.3953565001
1099	0.3953384392
1100	0.3953247752
1101	0.3952919055
1102	0.395264293
1103	0.3952502419
1104	0.3952114686
1105	0.3951688373
1106	0.3951557312
1107	0.3951300431
1108	0.3951033525
1109	0.3950723089
1110	0.3950602186
1111	0.3950382366
1112	0.3950103975
1113	0.395003733
1114	0.3949708691
1115	0.3949635183
1116	0.3949531984
1117	0.3949359037
1118	0.3949220138
1119	0.3949069467
1120	0.3948845157
1121	0.3948680319
1122	0.3948448285
1123	0.3948291581
1124	0.3948073691
1125	0.3947827102
1126	0.3947601196
1127	0.3947450435
1128	0.3947256233
1129	0.3947021494
1130	0.3946784805
1131	0.3946688668
1132	0.394648362
1133	0.3946399698
1134	0.3946327473
1135	0.3946045711
1136	0.3945922246
1137	0.3945754136
1138	0.3945606517
1139	0.3945507072
1140	0.3945165459
1141	0.3944989697
1142	0.394474289
1143	0.3944529384
1144	0.394422686
1145	0.3944012679
1146	0.3943867822
1147	0.3943687482
1148	0.3943558044
1149	0.3943448113
1150	0.3943219798
1151	0.3942957872
1152	0.3942776379
1153	0.3942562173
1154	0.3942206359
1155	0.3941893969
1156	0.3941678842
1157	0.3941241707
1158	0.3940922573
1159	0.3940544966
1160	0.3940447265
1161	0.3940232394
1162	0.3939969208
1163	0.3939768542
